Varchar(150),Varchar(150),Varchar(150),INT,Varchar(6),Varchar(50),Varchar(35),nvarchar(50),nvarchar(50),nvarchar(50),nvarchar(50),Varchar(50),,,Bit,"numeric(18,2)","numeric(18,2)",int,"numeric(18,2)",,Varchar(15)
AWESOME BUILDERS PRIVATE LIMITED,NO.6  AE BLOCK  7th STREET OFF 10th MAIN ROAD, ,CHENNAI,600040,builders.awesome@gmail.com, ,,,,,1001302,MG09,Distributor,,1,7,,,,
CHETTINAD ACADEMY OF RESEARCH AND E,RAJIV GANDHI SALAI , ,KANCHIPUR,603103,business@chettinadhealthcity.com,9841815000,,,,,1001303,MG09,Distributor,,1,-2428515,,,,
SANJIVINI MARKETING,WFK COMPOUND N.H-66 HEMMADY, ,HEMMADY,576230,sanjivinimarketing@gmail.com,8970147427,,,,,1001304,MG03,Distributor,,1,0,,,,
KURINJI PIPES & ELECTRICALS,15-1-60/5  DEVI TOWERS 2ND. FLOOR , ,THENI,625531,kurinjipipesandelectricals@gmail.com, ,,,,,1001305,MG09,Distributor,,1,-102914,,,,
ELECTRICAL & MECHANICAL AGENCIES,BRITISH INDIAN STREET  GROUND FLOOR, ,KOLKATA,700069,emapumpscare@rediffmail.com, ,,,,,1001306,MG04,Distributor,,1,-529416,,,,
J.P. ENTERPRISES,77-78 VINA PURAM  JAGDAMBA DEGREE COLLEGE ROAD, ,AGRA,282005, , ,,,,,1001307,MG07,Distributor,,1,895134,,,,
MANOHAR ELECTRICALS,NELLORE ROAD, ,PAMUR,523108, , ,,,,,1001308,MG08,Distributor,,1,0,,,,
SRI VIJAYA ELECTRICAL STORES,5-7-119/1  SHOP NO:2  MIRJALAGUDA ROAD, ,NALGONDA,508001,srivijayelectricalstores@gmail.com,9440894217,,,,,1001309,MG08,Distributor,,1,103,,,,
VENKATESWARA ELECTRICALS,3/87  MAIN ROAD VENGANNAPALEM, ,JULURUPADU,507166,nelluri.yuvan1599@gmail.com, ,,,,,1001310,MG08,Distributor,,1,0,,,,
JANANI MECHANICAL ENTERPRISES,6/380/A  SRINIVASA COLONY  KURNOOL ROAD , ,ONGOLE,523002, , ,,,,,1001311,MG08,Distributor,,1,0,,,,
SAI SRINIVASA ELECTRICALS,MAIN ROAD , ,NAKREKAL,508211,nunevasu143.nb@gmail.com, ,,,,,1001312,MG08,Distributor,,1,9336,,,,
SUGUNA TRADING CO.,OPP:S.B.I. BANK TADIPATRI ROAD , ,JAMMALAMAD,516434, , ,,,,,1001313,MG08,Distributor,,1,-423,,,,
INFOSYS LIMITED,IL CHENNAI MHDR SEZ UNIT-1, ,CHENGLEPET,603002,murali1.krishna@ge.com, ,,,,,1001314,MG04,Distributor,,1,0,,,,
KUNDAN CARE PRODUCTS LIMITED,PLOT NO.70 & 81SECTOR-6A  SIDCUL, ,HARIDWAR,249403, , ,,,,,1001315,MG04,Distributor,,1,0,,,,
RAKESH HARDWARE & ELECTRICALS,A-4  BUSY BEE CENTRE  BHADAKMORA  O, ,VAPI,396195,rhefuture@gmail.com,9327907293,,,,,1000942,MG12,Distributor,,1,15042,,,,
GUJARAT MINERAL DEVELOPMENT CORPORA,A/C. ION EXCHANGE (INDIA) LTD. AKRI, ,KUTCH,370001, , ,,,,,1000943,MG04,Distributor,,1,0,,,,
KAMDAR MACHINERY STORES,142 KHEDAPATI MARG  NEAR ROADWAYS B, ,DHAR,454001,manojkamdar123@gmail.com,9993591852,,,,,1000944,MG08,Distributor,,1,0,,,,
ARIHANT TRADERS,LANE NO. 8 NEAR BHARAT BANK , ,KOLHAPUR,416101,pavanbardiya@gmail.com,9403108104,,,,,1000945,MG02,Distributor,,500000,-394310,,,,
AJAYKUMAR ASHOKKUMAR,BEHIND SHEESH MAHAL UDYOG NAGAR , ,HISAR,125005,ajaykumarashokkumar@gmail.com, ,,,,,1000946,MG07,Distributor,,1600000,18393.78,,,,
AIROX NIGEN EQUIPMENTS PVT. LTD.,PLOT NO. 174 SECTOR-4 HSIIDC GROWTH, ,REWARI,123501,info@airoxnigen.com, ,,,,,1000947,MG04,Distributor,,1,-74331,,,,
BALAJI ENTERPRISE,3RD FLOOR 2ND MILE OPP. UTTAR BANGA, ,SILIGURI,734001,ashokagarwal14_balaji@yahoo.com, ,,,,,1000948,MG08,Distributor,,2000000,16184.81,,,,
CAPITAL CONTROLS INDIA PVT. LTD.,37/2, ,BELGAUM,590014,purchase@capitalcontolsindia.com, ,,,,,1000949,MG04,Distributor,,1,-3929,,,,
CTC SOLUTION,#397/D DAYAL CENTRE , ,COIMBATORE,641009, , ,,,,,1000950,MG09,Distributor,,1,-27573,,,,
FORTUNE RESOURCES PVT. LTD.,SHANKAR NAGAR CHOWK IN FRONT OF SHA, ,RAIPUR,492001, , ,,,,,1000951,MG08,Distributor,,1,-15048,,,,
GOYAL MACHINERY MART & COM.,NEAR STATE BANK OF INDIA , ,YAMUNANAGAR,135003,ankurgoyal902@gmail.com, ,,,,,1000952,MG08,Distributor,,1,44341,,,,
JYOTI PLASTIC WORKS PVT.LTD.,SURVEY NO.178/1 & 178/1 PAIKY-1  BH, ,VALSAD,396185, , ,,,,,1000953,MG04,Distributor,,1,0,,,,
KISAN AGRO PIPES & FITTINGS PVT. LT,84/54 SINGH ENGINEERING COMPOUND (N, ,KANPUR, ,kisanpipe@yahoo.com, ,,,,,1000954,MG07,Distributor,,1,7231,,,,
KESHAV CORPORATION,VIKAS NAGAR  NEAR HANUMAN MANDIR , ,SONIPATH,131001,skbansal01@gmail.com, ,,,,,1000955,MG08,Distributor,,1,10949,,,,
MR SANITARY & PAINT HOUSE,INDIRA CHOWK  BURHAR ROAD , ,SHAHDOL,484001, , ,,,,,1000956,MG08,Distributor,,2000000,52538,,,,
OM KAPGATE AGENCIES SADAK ARJUNI,MAIN ROAD SADAK ARJUNI, ,GONDIA,441806,umeshkapgate14@gmail.com, ,,,,,1000957,MG08,Distributor,,1,23535,,,,
PHIROZE KARAKA & CO. - PUNE,C/O.IT PARK BACK TO INORBIT MALL PU, ,PUNE,411014,karaka@vsnl.net,9223318948,,,,,1000958,MG10,Distributor,,1,-4572,,,,
PARK VIEW TRADERS,HAZURI BAUGH, ,SRINAGAR,190001,manjitsingh8957@gmail.com, ,,,,,1000959,MG08,Distributor,,2000000,9410,,,,
PATIALA MILL STORE,SABZI MANDI ROAD , ,PATIALA,147001,patialamill9@gmail.com,9417235171,,,,,1000960,MG07,Distributor,,1000000,-23099,,,,
VASANTHAM MARKETING CO.,NO.20 ROYAL GARDEN  PLOT NO. 156/1 , ,TIRUCHIRAPPALLI,620010,vasanthamtrichy@gmail.com, ,,,,,1000979,MG09,Distributor,,1500000,-1104685.37,,,,
DECENT SANITARY AND STORES,11/3/928 SHOP NO-687 ALI CHAMBERS, ,HYDERABAD,500001,decentsanitarystore@yahoo.com, ,,,,,1000980,MG01,Distributor,,1,-421233.27,,,,
MORYA ASSOCIATES,MAYANK COMPLEX  SADACHAR SOCIETY, ,NAGPUR,440023,nitinchavan045@gmail.com, ,,,,,1000981,MG08,Distributor,,1,0,,,,
SRI KANNIKA PARAMESWARI TRADING,NO.115A M.G.ROAD , ,MAYILADUTHURAI,609001,skppltd@gmail.com,9443875498,,,,,1000983,MG09,Distributor,,1,-790354,,,,
BALAJI AGENCIES,OPP:CHAITANYA GRAMEEN BANK , ,PIDUGURALLA,522413,raja.sekhar1112@gmail.com, ,,,,,1000984,MG08,Distributor,,1,4837,,,,
P.G.K. ENTERPRISES,16/9/18 NEAR NIRMALA HIGH SCHOOL , ,KADAPA,516001,maddirala.naga@gmail.com, ,,,,,1000986,MG01,Distributor,,1,12628.8,,,,
EVOQUE CHEMICAL INDUSTRIES,710  NAVRATNA CHAMBER , ,SURAT,395006, , ,,,,,1001317, ,Distributor,,1,0,,,,
INFOSYS LIMITED,IL MYSORE STP UNIT  PLOT NO.S350-354 368-372, ,MYSORE,570027,Murali1.Krishna@ge.com, ,,,,,1001318,MG04,Distributor,,1,0,,,,
J.K. CERAMICS AND SANITARYWARE,JYOTHI BUILDING  BESIDE SUVARNA HOTEL, ,HASSAN,573201,jkceramicsanitary@gmail.com,94480762039,,,,,1001319,MG03,Distributor,,1,102042,,,,
RAJHANS MARKETING,NO:1126/2-1D  NEW NO.27/1-D 16th CROSS, ,MYSORE,570008,pramodjn8@gmail.com, ,,,,,1001320,MG03,Distributor,,1,0,,,,
ERA TRADECOM,NO:901  VINAYAKA RESIDENCY, ,VARANASI,221005,rajesh_kunwar@yahoo.com,98388162828,,,,,1001321,MG07,Distributor,,1,0,,,,
RAWALS ELEKTRA SYSTEMS,F.F.-5  CHANDRA PRABHU COMPLEX OPP. SARDAR PATEL'S STATUE, ,AHMEDABAD,380013,elektrasystems@gmail.com,9426204553,,,,,1001322,MG12,Distributor,,1,99527,,,,
AMARA RAJA INFRA PRIVATE LIMITED,SITC OF RO DM PIPING SYSTEM IN TUBULAR , ,CHITTOOR,517416,rcg@amararaja.co.in, ,,,,,1001323,MG09,Distributor,,1,0,,,,
MARS INTERNATIONAL INDIA PVT. LTD,PLOT NO.1-09/IIA  KHED CITY   AT POST NIMGAON, ,PUNE,410505,Samiganesan.Karmegam@ge.com, ,,,,,1001324,MG04,Distributor,,1,0,,,,
KRISHNA TRADERS,45-A  NEW GRAIN MARKET, ,SHAHABAD,136135,amansinghal86@gmail.com,9992333254,,,,,1001325,MG07,Distributor,,1,0,,,,
HARYANA PIPE STORE,SAI ROAD  OPP: BHARDWAJ HOSPITAL ROAD, ,BADDI,173205,haryanapipestore83@gmail.com, ,,,,,1001326,MG07,Distributor,,1,0,,,,
ASR ENGG EQUIPMENTS,B-83 2ND CROSS 1ST STAGE, ,BANGALORE,560058, , ,,,,,1001327,MG04,Distributor,,1,0,,,,
RANGPUR METAL INDUSTRIES LIMITED,MURAPARA , ,DHAKA, , , ,,,,,2000046,MG08,Distributor,,1,0,,,,
PLATINUM EXPORTS PVT. LTD., , ,MUMBAI,400021, , ,,,,,2000053,MG05,Distributor,,1,0,,,,
AASTHA AGRO SERVICES,SHOP NO:18  SHIVAJI COMPLEX, ,DHARANGAOU,425105,madhavpatil11@gmail.com, ,,,,,1001336,MG08,Distributor,,1,74700,,,,
METITO WATER TREATMENT S.A.E.,PYRAMIDS HEIGHTS OFFICE PARK - BLDG 7  KM22 CAIRO/ALEX DESER, ,GIZA,11511,Assem.Zakaria@metito.com, ,,,,,2000041,MG05,Distributor,,1,0,,,,
NEPAL HOSPITALITY GROUP PVT. LTD.,SUNRIZE BIZ PARK , ,KATHMANDU,284403,saurav@airtech.com.np, ,,,,,2000044,MG08,Distributor,,1,-1237132,,,,
SAMA AL YEMEN FOR TRA. & MKTG CO., , ,SANA'A ,111111,mahmoodalbadani@yahoo.com, ,,,,,2000057,MG05,Distributor,,1,0,,,,
UNIVERSAL PIPING PTY LTD.,27B HENRY ST. EAST CANNINGTON, ,PERTH,6107,bhavesh@universalpiping.com.au, ,,,,,2000059,MG05,Distributor,,1,-3340469.46,,,,
SINGMAR MARINE AND OFFSHORE PTE LTD,#04-307K  134 JURONG GATEWAY ROAD , ,SINGAPORE,600134,technical@singmarmarine.com, ,,,,,2000060,MG11,Distributor,,1,0,,,,
WEBER POWER SOLUTIONS LTD,28/D  SEGUNBAGICHA, ,DHAKA,1000, , ,,,,,2000061,MG11,Distributor,,1,0,,,,
MILTON (ASIA) LTD.,G/F   167A POK WAI  SAN TIN, ,YUEN LONG,111111,gwong_milton@yahoo.com.hk, ,,,,,2000064,MG05,Distributor,,1,0,,,,
JYOTI IMPEX,207  ZEST BUSINESS SPACES  OPP CHEDDA STORE , ,MUMBAI,400077, , ,,,,,2000065,MG05,Distributor,,1,-497303,,,,
INTERNATIONAL WATER TREATMENT COMPA,PYRAMIDS HEIGHTS OFFICE PARK-BLDG. 7, ,GIZA,111111, , ,,,,,2000066,MG05,Distributor,,1,0,,,,
TRANS GULF ELECTRO-MECHANICAL L.L.C,P O BOX 2432, ,DUBAI, ,hrctgem@gmail.com, ,,,,,2000067,MG05,Distributor,,1,0,,,,
SINOLANKA HOTELS AND SPA PVT. LTD.,267  UNION PLACE , ,COLOMBO 02, , , ,,,,,2000068,MG05,Distributor,,1,0,,,,
THE DOBBIE DICO METER CO (WA) PTY L,PO Box 3225  MALAGA DC  W.A. 6090. AUSTRALIA, , , ,bruces@dobbie.com.au, ,,,,,2000069,MG05,Distributor,,1,0,,,,
THE DOBBIE DICO METER CO (WA) PTY L,430 Victoria Road  MALAGA. W.A. 6090. Australia, , , , , ,,,,,2000070,MG05,Distributor,,1,0,,,,
ASTRAL POLY TECHNIK LIMITED,1206 1210 1212 1253 & 1264  SANTEJ-, ,GANDHIANGAR,382721,info@astralpipes.com, ,,,,,2100000,MG01,Distributor,,1,0,,,,
ASTRAL POLYTECHNIK LTD. (TRD),BLOCK NO. 810/1  KOTHARI CROSS ROAD, ,GANDHIANGAR,382721,info@astralpipes.com, ,,,,,2100001,MG01,Distributor,,1,1534,,,,
ASTRAL POLYTECHNIK LTD. - DHOLKA,S.NO. 149/1 150 & 1776  NR. ADINATH, ,AHMEDABAD,387810,info@astralpipes.com, ,,,,,2100002,MG01,Distributor,,1,0,,,,
ASTRAL POLYTECHNIK LTD.,207/1  ASTRAL HOUSE , ,AHMEDABAD,380059,info@astralpipes.com, ,,,,,2100004,MG01,Distributor,,1,-56190959,,,,
ASTRAL PIPES LIMITED,P.O.BOX NO. 18141 , ,NAIROBI,500, , ,,,,,2300000,MG05,Distributor,,1,-12441181.39,,,,
ASTRAL POLYTECHNIK LTD. (DHOLKA TRD,S.NO. 149/1  NR. ADINATH GINNING MI, ,AHMEDABAD,387810,info@astralpipes.com, ,,,,,2100003,MG01,Distributor,,1,0,,,,
METRO CORPORATION,13 - GAUSHALLA COMPLEX  AMPHALLA , ,JAMMU,180001,vip_metro@rediffmail.com,9419143447,,,,,1000366,MG08,Distributor,,2000000,-569588.38,,,,
MODICHEM PLAST MATERIALS PVT. LTD.,D-17  NEW HIGHWAY PARK  E-3  CO-OP., ,MUMBAI,400101,modi@modichemplast.com, ,,,,,1000367,MG04,Distributor,,1,-7751561.04,,,,
ASHAPURI TRADERS,OPP. POLICE LANE SAWANTWADI  OPP: P, ,SINDHUGURG,416510,amrat.patel@rediffmail.com,9422096665,,,,,1000368,MG02,Distributor,,1000000,23388,,,,
PARK INDUSTRIALS,1301-A  MILL ROAD , ,COIMBATORE,641001,parkindustrials.sales@gmail.com,9363369633,,,,,1000465,MG09,Distributor,,3700000,-2100553,,,,
SRI KANNIKA PARAMESWARI TRADERS PVT,SRI KANNIKA PARAMESWARI TRADERS PVT, ,MAYILADUTHURAI,609001,skppltd@gmail.com,9443875498,,,,,1000590,MG09,Distributor,,2700000,-2317119.46,,,,
VOLTAS LIMITED,WATER MANAGEMENT BUSINESS DIVISION , ,MUMBAI,400033, , ,,,,,1000824,MG04,Distributor,,1,0,,,,
PINNACLE EQUIPMENTS PVT.LTD.,GAT NO. 103 JYOTIBA NAGAR, ,PUNE,412114,engg@pinnacleeqipments.com, ,,,,,1000961,MG02,Distributor,,1,-15323,,,,
PIPE POINT,5-1-338/C  OLD GHASMANDI , ,SECUNDERAB,500003,angadojha2@gmail.com,9966313404,,,,,1001273,MG08,Distributor,,1,-459,,,,
GULSHAN TRADING COMPANY-PROJECT,Q4 2nd CROSS  2nd MN VEERASANDRA IND.EST 2nd STAGE SY NO 29 , ,BANGALORE,560099,gulshantradingcompany2005@gmail.com,99452725029,,,,,1001274,MG03,Distributor,,1,-2643531,,,,
RANJITHKUMAR ELECTRICAL WORKS,2/30 K  MAIN ROAD, ,DHALAVAIPU,626188, ,9894121025,,,,,1001275,MG09,Distributor,,1,-18762,,,,
PARAMOUNT LIMITED,GOTRI ROAD  RACE COURSE (W), ,VADODARA,390007,mechpurchase@paramountlimited.com, ,,,,,1001276,MG04,Distributor,,1,0,,,,
TRN ENERGY 2X300 MW THERMAL POWER P,VILLAGE NAWAPARA, ,RAIGARH,495668, , ,,,,,1001277,MG04,Distributor,,1,0,,,,
PRISM INDUSTRIES LTD,SURVEY NO: 637/23/A1, ,ANAND,388640, , ,,,,,1001278, ,Distributor,,1,0,,,,
EIL INDIA LTD,R& D COMPLEX  SECTOR-16  GURGAON, ,GURGAON, ,asanengineers@gmail.com, ,,,,,1001279,MG04,Distributor,,1,0,,,,
ARJIT IMPEX,NEAR HYUNDAI SHOWROOM , ,HALDWANI,263139,arjitmbd@gmail.com, ,,,,,1001280,MG07,Distributor,,1,-280730,,,,
PANDIYAN AGENCY,279/4  V.C.T.V. ROAD (SATHY ROAD), ,ERODE,638003,pandiyanagencyast@gmail.com,9965736666,,,,,1001281,MG09,Distributor,,1,-3609447,,,,
MUNA SANITATION,UTKAL ASHRAM ROAD , ,BERHAMPUR,760001,muna.sanitation@gmail.com,9861153555,,,,,1001282,MG08,Distributor,,1,17029,,,,
GUJARAT FLUOROCHEMICALS LIMITED,PLOT NO.12-A GIDC INDUSTRIAL AREA, ,DAHEJ,392001,hrpatel@gfl.co.in, ,,,,,1001283,MG04,Distributor,,1,-71443,,,,
MACKSONS PROPERTIES (PVT) LTD,NO . 38  3RD CROSS STREET , ,COLOMBO,11,nimal@kentengineers.net, ,,,,,2000062,MG05,Distributor,,1,-714166.43,,,,
LARSEN & TOUBRO LIMITED  ,C/O TATA CONSULTANCY SERVICES LTD. , ,RANGA REDDY,501510, , ,,,,,1000347,MG09,Distributor,,1,0,,,,
LARSEN & TOUBRO LIMITED,C/O HCL TECHNOLOGIES LTD  SEZ DEVEL, ,GAUTAMBUDDHNAGAR,201304, , ,,,,,1000348,MG09,Distributor,,1000000,0,,,,
MOTILAL SHANKARLAL BHARADIYA VAMBOR,BAJARPETH  MAIN ROAD  DIST:AHMEDNAG, ,VAMBORI,413704,GAURAV.BHARADIYA3@GMAIL.COM, ,,,,,1000349,MG02,Distributor,,1,35055.03,,,,
LARSEN & TOUBRO LTD.  ECC DIVISION,U.P.A.V.P.  SECTOR-7 SIDDHARTH VIHA, ,GHAZIABAD,201301, , ,,,,,1000350,MG09,Distributor,,1,-2222014,,,,
LAXMI MACHINERY,NO. 1117 OLD AGRA ROAD  NEAR BHOLE, ,PIMPALGAON,422209,laksmipipe@gmail.com, ,,,,,1000351,MG08,Distributor,,1,4980,,,,
ARUN PLAST,SECTOR NO. 7  PLOT NO. 213  PCNTDA , ,PUNE,411026,arunplastpune@gmail.com,9822778278,,,,,1000352,MG02,Distributor,,1000000,-214734,,,,
LAVISH CREATIONS,328 PREM NAGAR , ,BAREILLY,243003, , ,,,,,1000353,MG07,Distributor,,1,19949,,,,
LARSEN & TOUBRO LTD. CONSTRUCTION,EMAMI CITY PROJECT  2 JESSORE ROAD , ,KOLKATA,700028, , ,,,,,1000354,MG09,Distributor,,1,0,,,,
LOTUS TRADING CO.,SHOP NO-1 BHARAT APPARTMENT  MARVEY, ,MUMBAI,400064, , ,,,,,1000355,MG08,Distributor,,1,-8709,,,,
M.G. MARKETING SERVICES,C\O VASANT SPINNERS  9TH MILE STONE, ,GHAZIABAD,201007,manishgupta14@hotmail.com,9811387999,,,,,1000356,MG07,Distributor,,25900000,-15353496,,,,
AGARWAL ENTERPRISES,SHOP NO. 5 BAPSIN RESIDENCY  OPP. E, ,GOA,403507,pipesandtubes@yahoo.com,98221324479,,,,,1000357,MG02,Distributor,,5000000,35102.49,,,,
MUKTA SALES,401 GNANKAR LANE    RAVIVAR PETH  D, ,NASIK,422001,mukta.sales097@gmail.com,9422754234,,,,,1000358,MG10,Distributor,,10000000,-937536.17,,,,
MUNOTH PIPE TRADERS,185  K. S. GARDEN  4TH CROSS  LALBA, ,BANGALORE,560027,munothhardware@gmail.com,9844166063,,,,,1000359,MG03,Distributor,,16400000,-688561.82,,,,
MODERN FABRICATORS & ENGINEERS (AGE,NO. 8  J. APARTMENTS  NEW NO.11  OL, ,CHENNAI,600020,srikanth3@satyam.net.in, ,,,,,1000360,MG04,Distributor,,1,-152080,,,,
MCC PTA INDIA CORP. PRIVATE LIMITED,VILL & P.O. BHUNIARAICHAK  VIA. SUT, ,PURBA MIDNAPORE,721635, , ,,,,,1000361,MG04,Distributor,,1,-30000,,,,
MAHAMIA TRADERS,RAMNIWAS TALKIES CHOWK , ,RAIGARH,496001, , ,,,,,1000362,MG04,Distributor,,1,-23401,,,,
MODERN ENTERPRISES,J-522 MIDC  BHOSARI , ,PUNE,411026, , ,,,,,1000363,MG04,Distributor,,1,-8,,,,
MEHUL SANITARY CORPORATION, , ,NAVI MUMBA,400709,info.mehulsanitary@gmail.com,9820229928,,,,,1000364,MG10,Distributor,,12900000,-50399.8,,,,
MONNET ISPAT & ENERGY LIMITED,(RAIGARH SPONGE IRON PROJECT)  VILL, ,RAIGARH,496001, , ,,,,,1000365,MG04,Distributor,,1,0,,,,
MANAGER (STORES) MODERNISATION,SAIL  RSP, ,ROURKELA,769011, , ,,,,,1000369,MG04,Distributor,,1,-260680,,,,
PRABHAT GENERAL STORE,NEAR STATE BANK OF PATIALA  BADRI N, ,PAONTA SAHIB,173025,gupta17shubham@gmail.com,9418073110,,,,,1000484,MG07,Distributor,,1500000,-13659,,,,
PRAMUKH HARDWARE,7 TO 11  SUKETU COMPLEX  A.V.ROAD , ,ANAND,388001,astralsardar@gmail.com, ,,,,,1000486,MG08,Distributor,,10000000,-5941787,,,,
LAXMI PIPE CENTRE,NO:39  NANDAN COMPLEX  DR. RAJKUMAR ROAD, ,MYSORE,570011,ghanshyam.lal10@gmail.com, ,,,,,1001284,MG03,Distributor,,1,-9490,,,,
WIPRO WATER(WIPRO ENTERPRISE LTD),D4/2 ACORN  MILESTONE PROJECT, ,BHIWANDI,421302, , ,,,,,1001286,MG04,Distributor,,1,0,,,,
AASHIRWAD TAPZ AND TILEZ,45/A  POLAN PETH  PLOT NO:18 , ,JALGAON,425002,aashirwadtapzntilez@gmail.coM,9420346347,,,,,1001287,MG10,Distributor,,1,-1822999,,,,
SUMEET INFRACON PRIVATE LIMITED,MALVIYA ROAD, ,RAIPUR,492001,arsurabh09@gmail.com, ,,,,,1001288,MG08,Distributor,,1,66010,,,,
BALAJI PLUMBING SOLUTIONS PVT. LTD.,PLOT NO:60  RAJA PURI  GALI NO:40 , ,NEW DELHI,110059,kunshbhs@gmail.com,9818067255,,,,,1001289,MG07,Distributor,,1,204299,,,,
PRASID ASSOCIATES,81 82  NEAR MPC  NEW COTTON MARKET, ,HUBLI,580029,prabhus646@gmail.com,9986796974,,,,,1001290,MG03,Distributor,,1,49921,,,,
RADHASOAMI SATSANG BEAS,DERA BABA JAIMAL SINGH , ,BEAS,143204,purchase.mum@rssb.net, ,,,,,1001292,MG07,Distributor,,1,-466847,,,,
SHRI CHINTAMANI TRADERS,OPP: SHARADA MANGAL KARYALAYA, ,KARAD,415110, , ,,,,,1001293,MG02,Distributor,,1,0,,,,
NTPC LTD,VINDHYACHAL SUPER THERMAL POWER PROJECT, ,SINGRAULI,486885,aktyagi@projects.trivenigroup.com, ,,,,,1001294,MG04,Distributor,,1,0,,,,
GRASIM INDUSTRIES LTD,BIRLAGAM , ,NAGDA, ,asanengineers@gmail.com, ,,,,,1001295,MG04,Distributor,,1,0,,,,
TVS SRICHAKRA LIMITED,PERUMAIPATTI ROAD  VELLARIPPATTI, ,MADURAI,625122, , ,,,,,1001296,MG04,Distributor,,1,0,,,,
SHREE KRISHNA ENTERPRISES,UDYOG NAGAR  DELHI ROAD, ,HISAR,125005,shreekrishnahisar@gmail.com, ,,,,,1001297,MG07,Distributor,,1,500000,,,,
C S SWAMI SANITATION,73-B  BHAWANI PETH SOMANI PLOT SHOP NO:3/4 MELODY APPARTMENT, ,SOLAPUR,413002,swamisani@gmail.com,9423325529,,,,,1001298,MG02,Distributor,,1,12475,,,,
ARUN TRADING COMPANY,UDYOG NAGAR  BEHIND SHEESH MAHAL , ,HISAR,125005,aruntradeco@gmail.com, ,,,,,1001299,MG07,Distributor,,1,0,,,,
EAST DELTA ELECTRICITY PRODUCTION,SHEBEEN EL COM STREET  ARAISHIA MISR , ,ISMAILIA,., , ,,,,,2000054,MG05,Distributor,,1,0,,,,
SANZI GROUP IMP & EXP,GRANDEUR BUILDING 4TH FLOOR  VEERA, ,MUMBAI,400053, ,8879774489,,,,,2000055,MG05,Distributor,,1,0,,,,
MOBILE PIPE LINING & COATING  Inc., , ,ADELANTO,92301,bbotteicher@undergroundsolutions.com, ,,,,,2000056,MG05,Distributor,,1,0,,,,
THEYSOHN EXTRUSIONSTECHNIK GMBH,JOHN-F.-KENNEDY-STRAßE 48, ,SALZGITTER,38228,c.meyer@theysohn.de, ,,,,,2000058,MG05,Distributor,,1,-632835,,,,
BUILDERS CORNER,4030  GORAKSHAN   DIST. SOLAPUR., ,PANDHARPUR,413304,zohairsb77@yahoo.com,9422532875,,,,,1000466,MG02,Distributor,,500000,-108029,,,,
PARIMAL TRADERS,17 NEW SAURABH SOCIETY NEAR STATE B, ,SURAT,395009,parimal.traders@yahoo.com,9824199427,,,,,1000467,MG08,Distributor,,80000000,-68642644.87,,,,
PRAKASH ASSOCIATES,STATION ROAD , ,MORADABAD,244001,prakeshji.associates@yahoo.in,9837067319,,,,,1000468,MG07,Distributor,,2000000,-211047,,,,
PANDIAN TUBES,279/1 SATHY ROAD  NEAR UNION BANK , ,ERODE,638003,pandiyantubes@yahoo.com,9965736666,,,,,1000469,MG09,Distributor,,2000000,-10273.11,,,,
PRISTINE WATER,B-234  OKHLA INDUSTRIAL AREA  PHASE, ,NEW DELHI,110020, , ,,,,,1000470,MG04,Distributor,,1,0,,,,
P.S.DISTRIBUTORS,8/10 MODERN PRESS COMPOUND  TOMMANA, ,BELLARY,583201, , ,,,,,1000471,MG03,Distributor,,1,0,,,,
PRINCE DISTRIBUTORS,129-A PALAM STATION ROAD  SELLUR, ,MADURAI,625002,princedistributorsmdu@gmail.com,9344444242,,,,,1000472,MG09,Distributor,,2600000,-1439750,,,,
PREM SANITARIES & BUILDING MATERIAL,2ND CROSS GURUPURA  NH-17 HOLEHONNU, ,SHIMOGA,577201, , ,,,,,1000473,MG03,Distributor,,1,60000,,,,
PRINCE PIPING SYSTEMS PVT LTD.,8-4-23/B  OLD BOWENPALLY , ,HYDERABAD,500011, ,9885239200,,,,,1000474,MG01,Distributor,,20000000,-14762347,,,,
PATHIPATI & CO,D NO: 15/803 KAMALA NAGAR , ,ANANTHAPUR,515001,pathipatipabhakar@yahoo.in, ,,,,,1000475,MG01,Distributor,,1500000,-206489.11,,,,
PARAMOUNT TECHNOLOGIES LIMITED,REGD. OFFICE & WORKS : A/4 G.I.D.C., ,VADODARA,390010, , ,,,,,1000476,MG04,Distributor,,1,0,,,,
PRAKASH AGENCIES,1308 CHENNAI ROAD  L.N.PURAM , ,PANRUTI,607106, ,9842324549,,,,,1000477,MG09,Distributor,,1,-166978,,,,
PURITA WATER SOLUTION PVT LTD,UNIT-6 7 8 9  PUJA INDUSTRIAL COMPL, ,THANE,401208, , ,,,,,1000478,MG04,Distributor,,1,-2447,,,,
PARSHVNATH MACHINERY STORES,AMRAPALI COMPLEX  OPP. BUS STAND , ,KAPADVANJ,387620,parshvanath.kpj@gmail.com, ,,,,,1000479,MG08,Distributor,,2000000,-267808,,,,
PRASHANT MACHINARY CORP.,3106 AKBAR CHOWK LANE NO. 2 , ,DHULE,424001,spjainitpdhule@yahoo.co.in,9422788404,,,,,1000480,MG08,Distributor,,2000000,627,,,,
PASCO,C.S DIVAKARAN MEMMORIAL BUILDING  K, ,ALLEPPEY,689121,devisales@gmail.com, ,,,,,1000481,MG06,Distributor,,1000000,-2722833,,,,
